Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
All Timesteps RMSE,0.0131387,0.0276981,0.0295108,0.0108819,0.0221703,0,0.0457792,0.0137889,0.0121514,0.0148445,0.0283578,0.0328828,0,0,0.0191683,0.019671,0.014323,0.0158349,0.0187928,0.0167023,0.0133268,0.0153456,0.0112128,0.0177852,0.0155054,0.0172382,0,0.0504012,0.0136146,0.0446842,0.0392235,0,0,0.0321396,0.0364144,0.023349,0.0193348,0.00788317,0.0112013,0.0164128,0.016495,0.0111595,0.0154473,0.0138541,0.0165186,0.0185248,0.016832,0.0154331,0.0120801,0.0110664,0.0113404
0,0.0293886,0.0146318,0.061139,0.0263784,0.0461782,0,0.043619,0.0369405,0.0399651,0.0553364,0.00630991,0.0232431,0,0,0.0316386,0.0395019,0.0371412,0.0372434,0.0499741,0.0502279,0.0355931,0.0343599,0.0293027,0.0161095,0.0228972,0.0379212,0,0.0365157,0.0368094,0.0193751,0.0182594,0,0,0.0117053,0.0215432,0.0127572,0.0501078,0.0282004,0.0287471,0.0423137,0.0212587,0.0286798,0.0294518,0.0315835,0.0322301,0.0352448,0.0335968,0.0327974,0.0263247,0.0297308,0.046269
1,0.0234931,0.0164165,0.0573846,0.0190562,0.0423658,0,0.044046,0.0312266,0.0330777,0.0486927,0.0074862,0.0258235,0,0,0.0253256,0.0331064,0.0310264,0.0315982,0.0429971,0.0441452,0.0300405,0.0279342,0.0223122,0.0117705,0.0183202,0.0318235,0,0.0365985,0.0315576,0.0221767,0.019189,0,0,0.0135029,0.0219228,0.0118304,0.0441376,0.021435,0.0221773,0.0360866,0.0154291,0.0225279,0.0230438,0.0250387,0.0260621,0.0300322,0.0277204,0.0267249,0.0203544,0.0228989,0.0411784
2,0.0182988,0.0181668,0.0539088,0.0131815,0.039305,0,0.0450106,0.0261336,0.0272605,0.0424931,0.0110459,0.0288552,0,0,0.0202217,0.0275939,0.0256921,0.0270118,0.0367835,0.0386834,0.0257725,0.0224535,0.0169546,0.00922958,0.0150806,0.0274243,0,0.03745,0.0269562,0.0253707,0.0212668,0,0,0.0166399,0.023483,0.0169001,0.0388404,0.015508,0.0165009,0.0309716,0.0108587,0.0171027,0.0172326,0.0190996,0.0204901,0.0257217,0.0225094,0.0214354,0.0159308,0.0170368,0.0363074
3,0.0138559,0.019549,0.0506923,0.00876749,0.0368579,0,0.0462637,0.0216537,0.0224648,0.0368768,0.0148458,0.0318531,0,0,0.0165598,0.0229856,0.0210786,0.0234208,0.0313801,0.0338919,0.0225586,0.0178653,0.0130554,0.00849401,0.0130224,0.0244299,0,0.0387744,0.0230004,0.0285612,0.0238252,0,0,0.0200457,0.0256253,0.0224944,0.0342091,0.0107255,0.0116842,0.0268409,0.00823827,0.0124416,0.0121401,0.0138693,0.0155877,0.0222917,0.0180509,0.0169986,0.0129791,0.0121683,0.0317409
4,0.0102348,0.0204113,0.0477297,0.00602226,0.0348689,0,0.0475858,0.0177842,0.0186658,0.0319826,0.0183419,0.0345664,0,0,0.0146082,0.0194272,0.0172538,0.02079,0.0268142,0.0298528,0.020093,0.0141903,0.010362,0.00911089,0.0119496,0.0223865,0,0.0403276,0.0196778,0.0315216,0.0264173,0,0,0.0232533,0.0279155,0.0270569,0.0302249,0.00768942,0.00777286,0.0235226,0.00811612,0.00860968,0.00794704,0.0094561,0.011429,0.019769,0.0145157,0.0134714,0.0111885,0.00827897,0.0276093
5,0.00755492,0.0207023,0.0450224,0.00520029,0.0332042,0,0.048828,0.0145027,0.0157689,0.0278333,0.0213982,0.036889,0,0,0.0143043,0.0171044,0.0143414,0.0190298,0.0230494,0.0265772,0.0180877,0.0115382,0.00858588,0.010407,0.0116433,0.020845,0,0.0419238,0.0169537,0.0341339,0.0288063,0,0,0.0260822,0.0300938,0.0303648,0.0268483,0.00691242,0.00500735,0.0208288,0.00958765,0.00571029,0.00498855,0.00595466,0.00807301,0.0181615,0.0121166,0.0108713,0.0100686,0.0053013,0.0239997
6,0.0060186,0.0204404,0.0425799,0.00576155,0.0317822,0,0.0499067,0.0117634,0.0136076,0.0243573,0.0239946,0.0387978,0,0,0.015128,0.0161051,0.0124604,0.0179812,0.0199873,0.0239763,0.0163156,0.0100611,0.00745118,0.0119219,0.0118656,0.0195038,0,0.0434396,0.0147668,0.036344,0.0308908,0,0,0.02848,0.032029,0.0325266,0.0240295,0.00771923,0.00411879,0.0185924,0.0114164,0.00393515,0.00392728,0.00356029,0.00556881,0.0173689,0.0109545,0.00917289,0.00917917,0.00314535,0.020936
7,0.00571091,0.0196974,0.0404153,0.00674731,0.0305704,0,0.0507822,0.00950551,0.0119869,0.0214641,0.026153,0.0403121,0,0,0.0164514,0.0162693,0.0116311,0.01745,0.0174852,0.0218843,0.0146022,0.0097504,0.00674804,0.013425,0.0123903,0.0182235,0,0.0448033,0.013033,0.0381357,0.0326404,0,0,0.0304526,0.0336696,0.0337423,0.0217154,0.00893253,0.00520342,0.0166927,0.0130696,0.00345472,0.00465606,0.00278596,0.00401423,0.0171489,0.0108165,0.00830143,0.00826882,0.00180777,0.0183901
8,0.00626086,0.0185922,0.0385358,0.00773877,0.0295656,0,0.0514402,0.00766864,0.0107172,0.0191007,0.02791,0.0414704,0,0,0.0178339,0.0172169,0.0116916,0.0172457,0.0153734,0.0201027,0.012819,0.0102776,0.00636433,0.0148051,0.0130418,0.0169713,0,0.0459798,0.0116558,0.0395213,0.0340596,0,0,0.0320307,0.0350076,0.0342256,0.0198474,0.0100115,0.00701042,0.0150594,0.0144232,0.00389431,0.00593763,0.00349723,0.00356399,0.0171887,0.0112483,0.0081042,0.00727269,0.00152637,0.0162965
9,0.0071315,0.0172885,0.0369338,0.00872508,0.0287684,0,0.0518824,0.00621096,0.00964084,0.017262,0.0293064,0.042319,0,0,0.0190475,0.0185422,0.0123575,0.0172068,0.0134794,0.0184499,0.0109081,0.011193,0.00626768,0.0160079,0.013711,0.0157613,0,0.0469592,0.0105433,0.04054,0.0351702,0,0,0.0332544,0.0360569,0.0341764,0.0183577,0.0108354,0.00884092,0.013659,0.0155002,0.00465695,0.00721537,0.0046731,0.00407066,0.0172179,0.011837,0.00834151,0.00626405,0.00202366,0.0145679
10,0.00800615,0.0159809,0.0355873,0.00987007,0.0281683,0,0.0521228,0.0051273,0.00865658,0.0159587,0.0303828,0.0429066,0,0,0.020024,0.0199426,0.0133609,0.0172135,0.0116659,0.0167986,0.00894203,0.0121827,0.00645569,0.0170064,0.0143429,0.0146174,0,0.0477476,0.00962571,0.041257,0.0360052,0,0,0.0341643,0.03684,0.033772,0.0171751,0.0114115,0.0104782,0.0124762,0.0163623,0.00548838,0.00843319,0.00595154,0.00506681,0.0170784,0.0123334,0.00873896,0.0054036,0.00262212,0.0131145
11,0.00876814,0.0148622,0.0344624,0.0113546,0.0277352,0,0.0521858,0.00444608,0.0077297,0.015165,0.0311838,0.0432832,0,0,0.0208072,0.0212233,0.0145071,0.0171883,0.00987134,0.0150885,0.00718928,0.0131171,0.00691106,0.0177953,0.0149158,0.0135552,0,0.0483658,0.00886034,0.0417605,0.0366095,0,0,0.034803,0.0373855,0.0331656,0.0162352,0.0117717,0.0118616,0.0114963,0.0170697,0.006344,0.00964141,0.00730782,0.00623785,0.0167298,0.0126183,0.00906402,0.00486652,0.0030594,0.0118596
12,0.00940305,0.0140668,0.0335204,0.0132068,0.0274251,0,0.0521038,0.00418772,0.00687205,0.0147726,0.0317616,0.043502,0,0,0.0215078,0.0222664,0.0156583,0.0170958,0.0081504,0.0133201,0.00611932,0.0139996,0.0075903,0.0183942,0.0154245,0.0125813,0,0.0488476,0.00822804,0.0421498,0.0370387,0,0,0.035218,0.037729,0.0324875,0.0154905,0.0119458,0.0129958,0.0106941,0.0176699,0.00723222,0.0108655,0.0087306,0.00744854,0.0162221,0.0126588,0.00917759,0.0047335,0.00324667,0.0107473
13,0.00993941,0.0136192,0.0327274,0.0152178,0.0271938,0,0.0519155,0.00430293,0.00610456,0.014578,0.0321758,0.0436183,0,0,0.022247,0.0230104,0.0167089,0.0169394,0.00671476,0.0115438,0.00610181,0.0149092,0.00841892,0.0188509,0.0158706,0.0116989,0,0.0492336,0.00772579,0.0425152,0.0373548,0,0,0.0354605,0.0379136,0.0318434,0.0149154,0.0119566,0.0139133,0.0100335,0.0181972,0.00814371,0.0120728,0.0101478,0.00862578,0.0156552,0.0124879,0.00904858,0.00492678,0.00317247,0.0097439
14,0.0104125,0.0134347,0.0320617,0.017013,0.0270121,0,0.0516596,0.00467508,0.00544708,0.0143341,0.0324848,0.0436829,0,0,0.023103,0.0234435,0.0175793,0.0167506,0.00593646,0.00985926,0.00693069,0.0159507,0.00929638,0.0192334,0.0162579,0.0109142,0,0.0495613,0.00735808,0.0429186,0.0376167,0,0,0.0355811,0.0379874,0.031311,0.0144995,0.0118214,0.0146497,0.00947981,0.0186732,0.00902747,0.0131867,0.0114416,0.0097037,0.0151388,0.0121891,0.00873948,0.00529001,0.00289743,0.00883421
15,0.0108432,0.0133831,0.0315167,0.0182168,0.0268744,0,0.0513678,0.00518455,0.00496433,0.0138457,0.0327358,0.0437329,0,0,0.0240904,0.0235997,0.0182217,0.0165732,0.00612178,0.00843601,0.00812867,0.0172202,0.01013,0.0196099,0.0165911,0.0102378,0,0.0498569,0.0071276,0.0433836,0.0378703,0,0,0.0356248,0.037999,0.0309343,0.0142356,0.0115541,0.0152306,0.00901116,0.0191041,0.00980969,0.0141242,0.0124969,0.0106236,0.0147618,0.0118692,0.0083702,0.00569522,0.00254993,0.00801479
16,0.0112404,0.0133642,0.0310921,0.0186286,0.0267842,0,0.0510666,0.00574341,0.00480155,0.0130437,0.0329709,0.0437949,0,0,0.0251884,0.0235474,0.018625,0.0164353,0.00714901,0.00754306,0.00944472,0.0187897,0.010863,0.0200356,0.0168833,0.00968328,0,0.050142,0.00702488,0.0439094,0.0381558,0,0,0.0356411,0.0380039,0.0307308,0.014108,0.0111727,0.0156727,0.00861766,0.0194902,0.0104426,0.0148436,0.0132561,0.0113674,0.014567,0.011615,0.00805939,0.00606343,0.00229137,0.00727275
17,0.0115909,0.0133369,0.0307987,0.0182968,0.0267559,0,0.0507638,0.00630274,0.00511739,0.0120137,0.0332037,0.0438646,0,0,0.0263541,0.0233748,0.018817,0.0163524,0.00863637,0.00746834,0.0108295,0.0206758,0.0114799,0.020518,0.0171417,0.00924862,0,0.0504184,0.00703367,0.0444615,0.038485,0,0,0.0356608,0.0380375,0.0306692,0.0140898,0.0106911,0.0159814,0.00831206,0.0198139,0.0109091,0.0153429,0.0137232,0.0119569,0.0145589,0.011486,0.00789776,0.00635782,0.00225343,0.00660024
18,0.0118778,0.0133131,0.0306452,0.0175111,0.0267964,0,0.0504536,0.00683609,0.00589606,0.010933,0.0334294,0.0439176,0,0,0.0275375,0.0231626,0.0188476,0.0163162,0.0102848,0.00825071,0.0123038,0.0228202,0.0119623,0.0210201,0.0173691,0.00891183,0,0.0506791,0.00713238,0.0449959,0.0388518,0,0,0.035701,0.0381141,0.0306854,0.0141439,0.0101276,0.016162,0.00811804,0.0200566,0.0112285,0.0156634,0.0139617,0.0124485,0.0147077,0.0115033,0.00791498,0.00656911,0.00243798,0.00598784
19,0.012101,0.0133303,0.0306308,0.0166718,0.0269009,0,0.0501154,0.00734142,0.00694498,0.00999677,0.0336234,0.0439136,0,0,0.0286687,0.02296,0.0187673,0.0163011,0.0119036,0.0095863,0.0138613,0.0250795,0.0122958,0.0214675,0.017553,0.00863564,0,0.0509162,0.00730556,0.0454754,0.0392381,0,0,0.035762,0.0382239,0.0306995,0.0142314,0.00951144,0.0162264,0.00806416,0.0202034,0.0114321,0.0158621,0.0140559,0.0128922,0.0149627,0.0116587,0.0080901,0.0067093,0.00275135,0.00544146
20,0.012266,0.0134231,0.0307426,0.0161312,0.0270602,0,0.0497206,0.00782461,0.00805164,0.00935368,0.0337469,0.0438054,0,0,0.0296605,0.0227885,0.0186286,0.0162837,0.0133447,0.0110697,0.0154313,0.0272473,0.0125102,0.0217821,0.0176729,0.00838435,0,0.0511143,0.00754195,0.0458696,0.0396081,0,0,0.0358188,0.0383256,0.0306365,0.0143175,0.00886794,0.0161855,0.00815802,0.0202408,0.0115439,0.0159871,0.0140785,0.0133055,0.0152665,0.0119211,0.00838173,0.00680743,0.00311533,0.0049764
21,0.012378,0.013608,0.0309529,0.0160975,0.0272575,0,0.0492507,0.00828186,0.0090734,0.00904944,0.033776,0.0435656,0,0,0.030449,0.0226675,0.0185045,0.0162611,0.0144924,0.012391,0.0169042,0.0291158,0.0126804,0.0219331,0.0177205,0.00814942,0,0.0512607,0.00781759,0.0461614,0.0399242,0,0,0.0358401,0.0383683,0.0304615,0.0143814,0.00820804,0.0160465,0.0083639,0.0201663,0.0115908,0.0160839,0.0140903,0.0136864,0.0155578,0.0122296,0.00873392,0.00688755,0.00348305,0.00458644
22,0.0124465,0.0138835,0.0312251,0.0165575,0.027476,0,0.0486997,0.00871084,0.0099569,0.00904107,0.0336993,0.0431858,0,0,0.030989,0.0226234,0.0184774,0.0162558,0.0152554,0.013343,0.0181469,0.0305091,0.0129186,0.0219312,0.0176969,0.00794914,0,0.0513483,0.00810223,0.0463442,0.0401531,0,0,0.0357947,0.0383068,0.0301775,0.0144182,0.00753749,0.0158157,0.00863378,0.0199819,0.0115913,0.0161729,0.0141203,0.0140082,0.0157862,0.0125183,0.00910081,0.00696307,0.0038344,0.00426697
23,0.0124837,0.0142366,0.0315202,0.0172886,0.0276978,0,0.0480775,0.00911387,0.0107169,0.0092131,0.0335192,0.0426745,0,0,0.0312565,0.0226953,0.018625,0.0163082,0.0155753,0.0138052,0.0190282,0.0313087,0.0133005,0.0218116,0.0176133,0.00781272,0,0.0513781,0.00836706,0.0464201,0.0402727,0,0,0.0356576,0.0381165,0.0298108,0.014434,0.00686117,0.0154982,0.00893631,0.0196907,0.0115507,0.0162437,0.0141648,0.0142354,0.0159213,0.0127336,0.0094511,0.0070319,0.00416358,0.00401809
24,0.0124996,0.0146462,0.031802,0.0179557,0.0279007,0,0.0474089,0.00949679,0.0113942,0.00942148,0.033254,0.0420542,0,0,0.0312513,0.022928,0.0189996,0.0164605,0.015435,0.0137339,0.0194415,0.0314632,0.0138081,0.0216145,0.0174911,0.00776198,0,0.0513594,0.00859326,0.0464002,0.0402772,0,0,0.0354129,0.0377999,0.0293943,0.014439,0.00618705,0.0150972,0.00927685,0.0192978,0.0114613,0.0162647,0.0141982,0.0143438,0.0159561,0.0128406,0.00976194,0.00707858,0.00447152,0.00383673
25,0.0124983,0.0150883,0.0320447,0.0182524,0.0280634,0,0.0467247,0.00986841,0.0120143,0.00955601,0.0329302,0.0413516,0,0,0.0309912,0.0233536,0.0196083,0.0167392,0.0148551,0.0131505,0.0193144,0.0309827,0.0143528,0.0213693,0.0173537,0.00780368,0,0.0513032,0.00877974,0.046299,0.0401724,0,0,0.035049,0.0373769,0.0289526,0.0144423,0.00552857,0.0146144,0.00969718,0.0188094,0.0113045,0.0161971,0.0141879,0.0143283,0.0159051,0.0128281,0.0100169,0.0070883,0.00476594,0.00371839
26,0.0124794,0.0155354,0.0322309,0.0180249,0.0281667,0,0.0460592,0.0102351,0.0125589,0.00957364,0.0325841,0.0406003,0,0,0.0305066,0.0239685,0.0204023,0.0171359,0.0138853,0.0121309,0.0186108,0.0299286,0.0148373,0.0211025,0.0172272,0.00793275,0,0.0512221,0.0089404,0.0461387,0.0399781,0,0,0.0345683,0.0368791,0.0285063,0.0144477,0.00491602,0.0140562,0.0102464,0.0182413,0.0110699,0.0160207,0.0141129,0.0142063,0.0157912,0.0127045,0.0101985,0.00705765,0.00505281,0.00366383
27,0.0124399,0.0159623,0.0323581,0.0173091,0.0282016,0,0.0454422,0.0106022,0.0129817,0.00949936,0.0322507,0.0398374,0,0,0.0298299,0.0247247,0.0212889,0.0176121,0.0125885,0.0107847,0.0173249,0.0283968,0.0152081,0.0208385,0.0171339,0.00813858,0,0.0511246,0.0090992,0.0459419,0.0397205,0,0,0.0339881,0.0363347,0.028069,0.0144567,0.00440093,0.013436,0.0109535,0.0176201,0.0107652,0.0157449,0.0139723,0.0140081,0.0156401,0.0125006,0.0102934,0.0070037,0.00533618,0.00369961
28,0.0123713,0.0163609,0.0324398,0.0162741,0.0281669,0,0.0448851,0.0109787,0.0132429,0.00940596,0.0319538,0.0390888,0,0,0.0289814,0.0255367,0.0221591,0.0181142,0.0110147,0.00922069,0.0154841,0.026505,0.0154617,0.0205951,0.0170881,0.00840047,0,0.0510198,0.00927584,0.0457177,0.0394239,0,0,0.0333357,0.0357639,0.0276414,0.0144685,0.00404576,0.0127648,0.0118217,0.0169723,0.0104097,0.0153973,0.0137749,0.0137585,0.0154762,0.012271,0.0103017,0.00695666,0.0056167,0.00387905
29,0.0122684,0.016727,0.0324931,0.015142,0.028063,0,0.0443955,0.0113677,0.0133162,0.00935747,0.0317153,0.0383811,0,0,0.0279801,0.0262912,0.022906,0.0185829,0.00920473,0.00753251,0.0131562,0.0243723,0.0156236,0.0203921,0.017104,0.0086932,0,0.0509217,0.00947626,0.0454755,0.0391208,0,0,0.0326501,0.0351866,0.0272262,0.0144801,0.00392411,0.0120639,0.012823,0.0163362,0.0100427,0.0150244,0.0135484,0.0134857,0.0153238,0.0120812,0.0102314,0.00694857,0.00588257,0.0042483
30,0.0121324,0.0170549,0.0325362,0.0140966,0.0278969,0,0.0439797,0.0117653,0.0131995,0.00937849,0.0315477,0.0377353,0,0,0.026851,0.0268701,0.0234432,0.0189709,0.00718876,0.00577864,0.0104488,0.0220952,0.0157299,0.0202419,0.0171913,0.00899518,0,0.0508418,0.00969379,0.0452195,0.0388436,0,0,0.0319659,0.0346187,0.0268294,0.01449,0.00407585,0.011365,0.0139072,0.0157505,0.00970816,0.0146729,0.0133276,0.0132218,0.0152139,0.011994,0.0101068,0.00701482,0.00611851,0.00481781
31,0.011966,0.0173385,0.0325833,0.0132328,0.0276806,0,0.0436356,0.0121619,0.0129128,0.00945135,0.0314519,0.0371607,0,0,0.0256307,0.0271749,0.0237138,0.0192477,0.00499691,0.00397476,0.00751389,0.0197376,0.0158106,0.0201444,0.0173501,0.00929018,0,0.05079,0.0099118,0.0449452,0.0386145,0,0,0.0313079,0.034078,0.0264641,0.014499,0.00446911,0.0107003,0.0150163,0.0152392,0.00943362,0.0143736,0.013137,0.0129943,0.0151768,0.0120473,0.00997062,0.00718847,0.00630813,0.00553982
32,0.0117761,0.0175667,0.0326381,0.0125708,0.0274292,0,0.0433581,0.0125397,0.0124822,0.00952621,0.031426,0.0366649,0,0,0.0243672,0.0271408,0.023683,0.0193915,0.00275215,0.00211385,0.00459178,0.0173262,0.0158828,0.0200971,0.0175746,0.00956775,0,0.0507754,0.0101123,0.0446504,0.0384487,0,0,0.0306981,0.0335878,0.0261609,0.0145062,0.00502256,0.0101028,0.0160891,0.014813,0.00922548,0.0141425,0.0129864,0.0128201,0.0152325,0.0122307,0.00986889,0.00748216,0.00643209,0.00630762
33,0.0115669,0.0177328,0.0327009,0.012081,0.0271649,0,0.0431314,0.012882,0.0119419,0.00955435,0.0314578,0.0362422,0,0,0.0230962,0.0267474,0.0233318,0.019389,0.00162678,0.000364673,0.00245422,0.0148556,0.0159578,0.0200917,0.0178453,0.0098218,0,0.050799,0.010288,0.0443303,0.0383442,0,0,0.0301478,0.0331654,0.0259507,0.0145106,0.00563828,0.00958751,0.0170728,0.0144559,0.00905551,0.0139727,0.0128614,0.0126874,0.0153929,0.012491,0.00984588,0.00785836,0.0064797,0.00700115
